imdb_title_id,title,year,certificate,genre,runtime,description,IMDb_rating,MetaScore,ratingCount,directors,stars
tt4156348,The Crucible,2014,,Drama,190 min,Lust and betrayal against the backdrop of the Salem witch trials.,9.0,,431,"Yaël Farber,Robert Delamere","Richard Armitage,Harry Attwell,Samantha Colley,Marama Corlett"
tt3967356,Skylight,2014,,Drama,135 min,"On a bitterly cold London evening, schoolteacher Kyra Hollis receives an unexpected visit from her former lover, Tom Sergeant, a successful and charismatic restaurateur whose wife has recently died.",8.5,,406,"Stephen Daldry,Robin Lough","Carey Mulligan,Bill Nighy,Matthew Beard,Michael Bott"
tt3411556,Adios Vaya Con Dios,2014,Not Rated,"Crime, Drama, Thriller",95 min,"Inspired by real events a day of reckoning approaches for Rory, a rising Irish-Mexican street gang member, when his trusted life-long friend Eloy, is released from prison.",8.4,,327,"La Raza,Marius Iliescu,Mónica Esmeralda León","Zachary Laoutides,Marius Iliescu,Madrid St. Angelo,Ric Morgan"
tt5872692,Qlub Imwegggha,2014,,"Drama, Mystery, Romance",183 min,An emotional story of a man who rediscovers love after his wife suddenly and mysteriously leaves him. The plot further develops an intriguing insight into their separate lives leaving viewers at the edge of their seat until the very end.,8.1,,284,Charles Meli,"Charles Meli,Joe Tanti,Sarah Camilleri,Gabriella Parsons Borg"
tt3313072,War Horse,2014,,Drama,135 min,"Based on Michael Morpurgo's novel and adapted for the stage by Nick Stafford, War Horse takes audiences on an extraordinary journey from the fields of rural Devon to the trenches of First World War France.",8.5,,247,"Marianne Elliott,Tom Morris,Tim Van Someren","Nigel Allen,Derek Arnold,Alex Avery,Alistair Brammer"
tt3840898,The Tempest,2014,,"Comedy, Drama",169 min,"Prospero, Duke of Milan, usurped and exiled by his own brother, holds sway over an enchanted island. He is comforted by his daughter Miranda and served by his spirit Ariel and his deformed ...                See full summary »",8.4,,239,"Jeremy Herrin,Ian Russell","Roger Allam,Jason Baughan,Jessie Buckley,Sam Cox"
tt3858500,What a Wonderful World,2014,,"Drama, Thriller",73 min,"After two years spent as a student in Boston, a 22-year-old visits his native Moldova. It is April 2009. People gather in the streets of Chisinau, the call having spread through social ...                See full summary »",8.2,,208,Anatol Durbalã,"Igor Babiac,Sergiu Bitca,Igor Caras-Romanov,Ana Daud"
tt3248148,The Gospel of Matthew,2014,Not Rated,Drama,190 min,"This critically acclaimed, epic production – five years in the making – is the first-ever word-for-word account of the life of Jesus as recorded in the biblical Gospel of Matthew.",8.0,,204,David Batty,"Selva Rasalingam,Karima Gouit,Ramdane Aala,Ettuhfi Abdellatif"
tt3813456,We Are Moluccans,2014,,"Biography, Drama, History",151 min,"Five years of conflict, thousands of casualties, a boys' football team unites them",8.1,,168,Angga Dwimas Sasongko,"Chicco Jerikho,Abdurrahman Arif,Jajang C. Noer,Ridho Hafiedz"
tt4074180,Shakespeare's Globe: A Midsummer Night's Dream,2014,,Comedy,172 min,"Mistaken identity, unrequited love, and the supernatural are combined in Shakespeare's classic set in the woods of Greece on a moonlit night.",8.3,,144,Dominic Dromgoole,"Steffan Donnelly,Huss Garbiya,Tala Gouveia,Tom Lawrence"
tt3760060,Amiri's Child,2014,,Drama,61 min,"A Maori take on David and Goliath, a story of bitter rivalry between the children of gang rivals. Arapeta and Koriata were brought up to be enemies, now they are both key executives in the ...                See full summary »",8.2,,138,David Whittet,"Lisa Beach,Shayne Biddle,Mariel Ceballos,Alexandra Christie"
tt3340000,Wichita,2014,,"Drama, Thriller, Western",106 min,"A drifter, a fugitive, and a bounty hunter all land in the sleepy cow town of Wichita, Ks during the 1882 cattle runs and find out there's far more than meets the eye in this Western/Noir.",8.2,,116,Nicholas Barton,"Justin France,Karina Wolfe,Blake Webb,Reylynn Caster"
tt4440370,The Evil Within,2014,,"Animation, Horror",122 min,Add a Plot,8.0,,115,Nabil Ayari,Milica Pajic
tt2124181,Suck it Up Buttercup,2014,Not Rated,"Drama, Family",87 min,"Drug addiction's collateral damage is starkly revealed when a former honor student, newly addicted to prescription pills, triggers a chain of events that devastates her friends and threatens to tear her family apart.",8.0,,105,Malindi Fickle,"Lacy Marie Meyer,Robyn Ross,Gregory Konow,Alex Raymond"
tt3530596,Victims of Fun,2014,,Drama,120 min,Derrick has killed himself and tells the story of what lead up to his demise.,8.6,,98,Brian Naydol,"Mark Karr,Stefanie Banis,Aaron Starnes,Luke Balek"
tt4303966,Friends Don't Let Friends Date Friends,2014,,"Comedy, Romance",97 min,A sarcastic tomboy becomes caught in the middle as her friends fall in and out of love with each other.,8.1,,94,Rhonda Parker,"Amelia Favata,Adam S. Dixson,Erin Stamp,Casey Litzenberger"
tt3815552,Stuck on Neal,2014,,"Comedy, Drama",88 min,"Neal, going through a middle-life crisis asks his best friend and brother-in-law, Rob, to do something that has hilarious and devastating effects.",8.0,,92,Aaron Gum,"Darrick Silkman,Faustus McGreeves,Chelsea Wagoner,Andrea Erickson"
tt3894762,Simply gay le film,2014,PG-13,"Drama, Family",71 min,"Benjamin, repulsed Young man, and rejected by his and his family tries to manage all on his own having been thrown outside of the place of residence of her mother continuation has his ...                See full summary »",8.5,,85,"Benjamin Karmer,Greg Nashvil","Alain de Peretti,Murielle Gillet,Fred Bauchet,Jany Engels"
tt2357300,Scammerhead,2014,,"Comedy, Drama",108 min,"A Global Film Noir with dark comic elements about Silas Breece, a legendarily unorthodox business hustler who travels the world seeking capitol from bizarre investors, mobsters and ...                See full summary »",8.6,,74,Dan Zukovic,"Alex Rocco,Bruce Glover,Dan Zukovic,Chris Humphreys"
tt2966848,The Breaking Point,2014,Not Rated,"Action, Crime, Drama",75 min,What would you do if you were accused of murder.,8.0,,73,James C. Hunter,"Erik Grey,Diana Lovell,Reggie Peters,Roy Williams Jr."
tt3168514,12 Menit,2014,,"Drama, Family, Music",110 min,This is a story about struggle. Struggle for self-defeating. For the sake of a very simple aspiration : to realize 12 minutes that they will remember forever. A marching band in Bontang is ...                See full summary »,8.7,,71,Hanny Saputra,"Verdi Solaiman,Titi Rajo Bintang,Egy Fedly,Hudri"
tt2525092,Don't Get Killed in Alaska,2014,,Drama,96 min,Don't get killed in Alaska follows Liney (Lee-nee) a 20 year-old tomboy as she travels back to Ontario with her new boyfriend Dan after a summer of tree planting. Having lost all their ...                See full summary »,8.2,,65,Bill Taylor,"Oliver Dennis,Rosemary Dunsmore,Ben Lewis,John Nelles"
tt2098843,The Paddy Lincoln Gang,2014,,Drama,90 min,"The Paddy Lincoln Gang are a rock band with everything - as well as total immersion in sex, drugs and rock 'n' roll. But their charismatic lead singer holds a dark secret from his past, a secret that is about to explode.",8.0,,65,Ben Jagger,"Dean Jagger,Joseph DiMasso,Richard Wagner,Demetri Watkins"
tt4582284,Jeff Lynne's ELO at Hyde Park,2014,,Music,85 min,"Headline set including Livin' Thing, Sweet Talkin' Woman, and Mr Blue Sky.",8.8,,59,Janet Fraser-Crook,"Electric Light Orchestra,Jeff Lynne,Richard Tandy,Milton McDonald"
tt2246676,Pester,2014,Not Rated,Drama,76 min,"Two brothers in the pest control business struggle with family ties, personal identity, and two very different forms of addiction.",8.7,,59,Eric Gerber,"Nick Sommer,Mathew Dunlop,Thaine H. Allison Jr.,Dan Aho"
tt4159734,Time and Place,2014,,Drama,99 min,"When scientists reveal the universe has stopped expanding, and will soon begin to contract, time collapses for one man. Things lose their meaning, and moral boundaries seem absurd. 'TIME ...                See full summary »",8.1,,58,Michael Henry,"Michael Henry,Tom Bridger,Charles Cromwell,Heather May"
tt3658642,Déjame Vivir,2014,,Adventure,62 min,Add a Plot,8.1,,57,Sèbastien Montaz-Rosset,"Kilian Jornet,Bruno Brunod,Matteo Jacquemoud,Emelie Forsberg"
tt3249086,Blood Empires,2014,Not Rated,"Crime, Drama",87 min,"Blood Empires is about pride, family, redemption, and above all love; struggling people on either side of the law, rise out of pain and misery.",8.1,,47,Peter Rajesh Joachim,"Steve Johnston,Kassandra Santos,Walter Alza,Amanda Barker"
tt3197528,Popovich and the Voice of the Fabled American West,2014,Not Rated,"Comedy, Family, Western",90 min,"Popovich is an ex circus legend struggling as a street performer in the wild west streets of Las Vegas. When his junkyard home full of stray animals gets into trouble, he and his animal buddies use all their circus tricks to save it.",8.0,,47,"Jerry Thompson,Mike Thompson","Gregory Popovich,Jason Neistadt,Antonio Fargas,Melody Melendez"
tt3381844,Goldfrapp: Tales of Us,2014,,Music,90 min,"Five stories, each one based on a song from the Goldfrapp album 'Tales Of Us'.",8.3,,46,Lisa Gunning,"Alyssa Bell,Laura Donnelly,Clemmie Dugdale,Alison Goldfrapp"
tt3783822,The Doors: R-Evolution,2014,,Music,72 min,"""R-Evolution"" brings together a wealth of rare footage of The Doors. Combining early TV appearances with their own music films, ""R-Evolution"" illustrates how The Doors evolved from the ...                See full summary »",8.0,,44,,"John Densmore,The Doors,Robby Krieger,Ray Manzarek"
tt3478204,Rinoplasticos: A Warrior's Journey,2014,,"Action, Adventure, Sci-Fi",55 min,An army lead by a powerful Rinoplastico is threatening to destroy all the remaining villages. Mimbra must find and gather all the surviving warriors in order to come up with a way to defeat the menacing empire.,8.2,,44,Pauli Janhunen Calderón,"Emilio Janhunen Calderón,Pauli Janhunen Calderón,Andrés Calderón,Alvaro Calderón"
tt3184560,Noble Fir,2014,,Drama,95 min,"Nearing the end of harvesting season, Christmas-tree farmer Henry Dean fights to control his growing anger over an unnamed tragedy.",8.4,,44,"Joseph Arney,Christopher W. Graham","Richard E. Wilson,Mandy Rose Nichols,Desiree Aceves,Samuel Pearson"
tt3025936,The Journey,2014,,"Adventure, Drama, Mystery",112 min,A western tourist travels to a small island in Greece on the advice of a stranger to overcome a recent personal tragedy. this will be a trip for self discovery and healing with the help of the locals and the natural beauty of the island.,8.1,,42,Lance Nielsen,"Jason Flemyng,Duncan Pow,Dickon Tolson,Lindsey Coulson"
tt3919118,Ghosts,2014,Not Rated,Drama,107 min,Live recording of London stage production of Ibsen's classic play 'Ghosts'.,8.4,,40,Robert Delamere,"Lesley Manville,Jack Lowden,Adam Kotz,Charlene McKenna"
tt3598850,The Zeroes,2014,,"Comedy, Family",72 min,"A group of kids realizing there is strength in numbers, band together to take on the neighborhood bullies.",8.4,,40,Steve Royall,"Keith Nagel,Sam Cohen,Sophie Sabatini,Arden Belle"
tt3067750,Start Options Exit,2014,,"Comedy, Drama",78 min,"Set in Melbourne, Start Options Exit (SOE) follows the exploits of twenty-somethings Neville Carlisle and Yolis Jenkem; who have come to a freeing conclusion; If you forget the stupid ...                See full summary »",8.2,,38,"Yoav Lester,Christopher H.F. Mitchell","Ari Neville,Yoav Lester,Tom McCathie,Mark Brandon Read"
tt4720252,Toto: 35th Anniversary Tour Live in Poland,2014,Unrated,Music,130 min,"This spectacular live concert sees Toto celebrating their 35th Anniversary at the Atlas Arena in Lodz, Poland during their 2013 World Tour. The show epitomises the combination of craft, ...                See full summary »",8.3,,37,Blue Leach,"TOTO,Steve Lukather,David Paich,Steve Porcaro"
tt6023726,Hypnosis Display,2014,,Music,75 min,Hypnosis display is an original live sound and 16mm film collaboration between experimental vocalist and musician Grouper and filmmaker Paul Clipson.,8.3,,36,Paul Clipson,
tt3840608,Lone,2014,Not Rated,Mystery,52 min,A charred skeleton of a house. A largely abandoned world. A vortex. Lone: a Chelsea Wolfe memory.,8.5,,35,Mark Pellington,"Chelsea Wolfe,Richard Kray,Bianca D'Ambrosio,Chiara D'Ambrosio"
tt3680440,The Light of Day,2014,,"Comedy, Drama",85 min,"A hilarious mockumentary 'The Light of Day' follows a flailing film crew as they attempt to adapt the vampire graphic novel 'The Quench'. Hindered by their tragically over-zealous director,...                See full summary »",8.0,,34,"Amy Carroll,Conor Dowling,Eoin O'Neill","Jack Hickey,Lorna Larkin,Aidan Lawlor,Dermot Magennis"
tt2374711,"27, Memory Lane",2014,,"Drama, Fantasy, Romance",98 min,A divorced doctor is gifted a bespoke door that sends him back 25 years in search of the only woman he ever loved.,8.3,,34,Luke Hupton,"James Clay,Diona Doherty,Marlon Blue,Jason Redshaw"
tt3165648,Cinema Purgatorio,2014,,Comedy,98 min,"In a last-ditch effort to break through in the crowded and convoluted indie film world, a husband-wife producing team make a film especially designed to win a regional film festival and attract the attention of actor Bill Murray.",8.0,,33,Chris White,"Chris White,Traysie Amick,Alan Ray,Monica Eva Foster"
tt4241034,Journey to the Center of My Brain,2014,,Comedy,56 min,Journey to the center of my brain is a one hour stand up comedy special by Indian stand up comedian Kenny Sebastian. This special was released online for free on Youtube on Nov 17th. The ...                See full summary »,8.4,,32,"Aniket Dasgupta,Kenneth Sebastian",Kenneth Sebastian
tt3673180,State of Bacon,2014,Not Rated,Comedy,93 min,"State of Bacon tells the kinda real but mostly fake tale of an oddball group of characters leading up to the annual Blue Ribbon Bacon Festival. Bacon-enthusiasts, Governor Branstad, a bacon...                See full summary »",8.0,,32,Jason Cook,"David Anthony Higgins,Jim Duggan,Anderson Cooper,Bjorn Ofeigsson"
tt2570812,Progression,2014,,"Comedy, Romance",85 min,A zany trio of urbanite couples fumble through love and heartbreak on the night of the annual Lawrenceville progressive dinner in and around the hipster-est neighborhood in Pittsburgh.,8.8,,32,"Gab Cody,Sam Turich","Theo Allyn,Molly Alphabet,John Amplas,Abe Anderson"
tt1671719,Shades of Gray,2014,Not Rated,Drama,108 min,A man decides to rehabilitate the murderer of his wife and children.,8.6,,32,Marco Aurelio,"Jorge A. Jimenez,Jay McClure,Rachel McKinney,Kevin O. Peterson"
tt4345774,The Lies We Tell But the Secrets We Keep Part 3,2014,Not Rated,"Action, Drama, Romance",120 min,The conclusion to the epic urban saga of 'The Lies We Tell...' Roni seeks revenge on Tank because she feels as if Tank had something to do with Bri being shot. So she takes matters into her own hands.,8.3,,31,Milon V. Parker,"Aaron Badie,Anita Nicole Brown,Andrea V. Dean,Rion Harrie"
tt3875352,Royal Shakespeare Company: Henry IV Part I,2014,,"Comedy, Drama, History",165 min,"The second play in Shakespeare's series of histories covering the reigns of Richard II, Henry IV and Henry V. Shakespeare muses on the consequences of actions, the role of princes and the realities of wielding power.",8.2,,28,Gregory Doran,"Antony Sher,Alex Hassell,Jasper Britton,Trevor White"
tt3112330,Love Land,2014,,Drama,101 min,"24-year-old Ivy sterilizes needles at a tattoo parlor in a small East Texas town. She has an intellectual disability, but she hides her label with grace, wearing bracelets over her medical ...                See full summary »",8.3,,28,Joshua Tate,"Monica Gaseor,Michael Iovine,Elisa Annette,Camilo Arias"
tt4170394,Shred Bots the Movie,2014,Not Rated,Sport,46 min,"Less like robots and more like ""bro-bots"", this epic ensemble of Norwegian and Canadian riders are about to present you with a serious lesson in Kinematics: That's android terminology for ""...                See full summary »",8.8,,27,Leo Cittadella,"Torstein Horgmo,Mark McMorris,Craig McMorris,Andreas Ygre Wiig"
tt2959628,The Widowers,2014,Unrated,"Comedy, Drama",104 min,"THE WIDOWERS is a comedy about grief. It centers on best friends Jake and Jonathan, whose wives have died in an accident. When Jonathan drags Jake to a grief counseling retreat for young ...                See full summary »",8.6,,27,Jonathan Scott Chinn,"Richard Lovejoy,Kent Meister,Jennifer Laine Williams,Ryan Andes"
tt3890730,Royal Shakespeare Company: Henry IV Part II,2014,,"Comedy, Drama, History",170 min,"Gregory Doran directs Shakespeare's epic pair of plays with a cast including Antony Sher as Sir John Falstaff, Jasper Britton as King Henry and Alex Hassell as Prince Hal.",8.3,,26,Gregory Doran,"Antony Sher,Alex Hassell,Jasper Britton,Elliot Barnes-Worrell"
tt3822210,The Z-Nail Gang,2014,,"Action, Comedy, Drama",86 min,When a corporate mining giant moves into a small coastal town looking for gold and talking about trickle down wealth - some folk just aren't convinced.,8.2,,26,Anton Steel,"Paul Ballard,Ida Barklund,Paul Barrett,Paul Barrett"
tt3680638,One Day: A Musical,2014,,"Comedy, Family, Musical",52 min,"A YouTuber experiences an existential crisis in this musical comedy about creativity, online media, and balancing life.",8.7,,26,Joe Kowalski,"Erik Estrada,Andy Umberger,Wally Wingert,Rob Nagle"
tt2189778,Jay Johnson: The Two & Only!,2014,Not Rated,Comedy,114 min,"In this big screen adaptation of his Tony ® Award winning Broadway show, master storyteller and ventriloquist Jay Johnson redefines, re-imagines, and reintroduces you to the wonderful art of ventriloquism.",8.7,,26,Bryan W. Simon,Jay Johnson
tt2107764,Reality TV Movie,2014,,Comedy,89 min,"A shy nerd, Bergie Barnsworth, wants to audition for the new realty TV show, Chance Of Your Life, in hopes of dancing with the Asian pop star, Lolli Pop. With little talent, and a painfully...                See full summary »",8.0,,26,Tytus Bergstrom,"Tytus Bergstrom,Li Wen Ang,David Weise,Joanna Siekierska"
tt3093720,After School,2014,TV-14,"Crime, Drama, Thriller",94 min,A troubled young boy with a terrifying secret is forced to take matters into his own hands. It's up to a former teacher and tough LAPD Sgt. Olivia Hanson to frantically find clues to save their lives.,8.0,,25,"Carlos Meléndez,Mauricio Mendoza","Mauricio Mendoza,Yeniffer Behrens,Adrian Moreira-Behrens,Vance Valencia"
tt2451838,Sunken City,2014,Not Rated,"Comedy, Crime, Drama",105 min,"After budget cuts and personal demons forced him off the streets of San Pedro, Detective Nick Terry's beat became the classroom, where he patrols the minds of the people in his beloved ...                See full summary »",8.3,,25,Ryan McLaughlin,"Cooper Barnes,Exie Booker,Eric Michael Cole,Chad Michael Collins"
tt4109034,Antique Prayers,2014,,"Drama, Family, Romance",49 min,A faith based narrative film about a family man when tragedy strikes. The power of prayer and trusting in God's plan as well as avoiding temptation are major themes that the main character ...                See full summary »,8.7,,23,Paul Kaitson,"Paul Kaitson,Andrew Kaitson,Kelly Kaitson,Julio Mas"
tt3924518,The Survivor: War's End,2014,,Action,130 min,The story of the survivors during a long war against alien invaders. The war has raged on for a year as Sam decides to record his survival story one last time.,8.0,,23,Tom Smith,"Tom Smith,Patrick Stark,Tyler Malloy,Matthew Copeland"
tt3466252,The Bequeather,2014,,Comedy,89 min,'Airplane' crashes into 'Young Frankenstein' in a movie that lays the jokes on thicker than Arctic molasses. Three sisters must compete together and against each other to uncover a series ...                See full summary »,8.5,,23,Justen Overlander,"Tiffany Cornwell,Justen Overlander,Keri Bunkers,Gary David Keast"
tt4130354,Christine at the Crossroads,2014,,"Drama, Romance",55 min,Christine must decide to break free or continue to live an unhappy life.,8.2,,22,"Ernie Smith,Heather Smith","Diane Sokolowich,Anna Sosa,Brett Moye,Brooke Dempsey"
tt3415324,Tarot: A Documentary Love Story,2014,,"Comedy, Drama, Romance",90 min,Babydills and Babykins find out what love means while struggling to film a documentary about Tarot.,8.5,,22,Vincent Maeder,"Vincent Maeder,Navah Raphael,Matthew Jaeger,Eric Bunton"
tt3409432,Breathe,2014,,"Crime, Drama",70 min,"A broken home, a broken marriage, pressures of sexuality, religion, mental and physical abuse affects the lives of a suburban community in Atlanta, Georgia as they navigate through life ...                See full summary »",8.0,,22,Frederick Tabiyus Nah IV,"Jeremy Daniel Madden,Jeff Rose,Erica Page,Richard Cordero"
tt3089684,Detective Detective Detective,2014,Not Rated,"Comedy, Mystery",85 min,Three estranged brothers play detectives in a live action role-playing mystery game in the Alaskan wilderness.,8.0,,22,Justin Edwards,"Matthew Clay,Henry J. Kaiser,Adam McCabe,Justin Edwards"
tt4726764,Here's to Wishing I Had My Cats at the Rapture,2014,Not Rated,"Comedy, Drama",95 min,"A week shy of the end of the world, Luke Walsh finds himself underground with his once-best friend, Billy Dyer. As the days pass, the two begin to question their friendship, their purpose, and even their sanity.",8.7,,21,J. Large,"Ann Niblock,Emmy Panzica,Geoffery Pottorff,Joe Reece"
tt3843804,The Bag Lady,2014,Not Rated,"Biography, Drama, Romance",128 min,"Based on a true story, Ray is a homeless teenager from a broken home when he becomes a father and catches a five year prison sentence for participating in a robbery that killed his best ...                See full summary »",8.3,,21,Ericka Marsalis-LaManna,"Colby Crain,Wayne Dehart,Matthew Pogonat-Walters,Lance Barnett"
tt3043214,Love and Demons,2014,Not Rated,"Comedy, Romance, Thriller",87 min,"Two demons, slinging sex, drugs and chaos, attack the lives of a struggling couple.",8.0,,21,J.P. Allen,"Chris Pflueger,Lucia Frangione,J.P. Allen,Arnica Skulstad Brown"
tt2732080,Kinderwald,2014,,"Drama, Western",87 min,"Pennsylvania, 1854. German Immigrant John Linden struggles to set up a homestead in the mountains with his brother's widow Flora and her two young sons. When the small boys suddenly vanish ...                See full summary »",8.2,,20,Lise Raven,"Frank Brückner,Emily Behr,Max Cove,Corinna Burns"
tt2723828,My Name Is Vivienne,2014,,"Comedy, Drama",94 min,"A flailing Hollywood actress is kicked out of her sugar-daddy's mansion and forced to team up with a struggling colleague and a loyal unpaid intern, who both help her fight to reattain her previous fame.",8.6,,20,Marjorie Cohen,"Alexandria McCale,Mitch Westphal,Natalie Palamides,Tamara Rhoads"
tt5164558,Quadrophenia: Live in London,2014,Not Rated,Music,96 min,"Concert film of The Who's July 8, 2013 show at Wembley Arena in London where they performed their classic album ""Quadrophenia"" in its entirety.",8.4,,19,Chris Rule,"Roger Daltrey,Pete Townshend,Simon Townshend,Zak Starkey"
tt4108984,Metalloids 2,2014,Not Rated,"Action, Adventure, Comedy",70 min,"Protagonist, the protagonist, must save his friend from the clutches of a brainwashing serial killer and his goons.",8.2,,19,Aaron Smith,"Aaron Smith,Mark Williams,Andrew Volzer,Jonathan Ravis"
tt4064584,The Union,2014,,"Comedy, Drama",82 min,A solitary yet charming bartender working a wedding reception is pulled into a series of complicated family issues after befriending the bride's impulsive sister.,8.3,,19,J. Thibodeau,"Ben Edlin,Meredith Forlenza,John Bolger,Kenneth Tigar"
tt3884994,Can't Move On,2014,,Drama,109 min,"Love can never be broken and memories never dies. A couple that ""Can't Move On"" due to there loving past.",8.6,,19,Andrei Sporea,"Stephanie Gerard,Andrei Sporea,August Coryell,Read MacGuirtose"
tt3651010,Este Does Not Make a Movie,2014,,Comedy,72 min,A young amateur filmmaker is hired to be the behind-the-scenes director of a local indie film - a project that quickly sends him down into a spiral of madness.,8.8,,19,Nicholas B. Munoz,"Estevan Muñoz,Ryan Turri,Matthew David Peterson,Lauren Chavez-Myers"
tt3593298,Broadway Lofts,2014,Not Rated,Drama,77 min,"In the cut-throat real estate world of Los Angeles, Jon, a young man, in the shadows of his older successful brother, uses any means possible to impress his father and prove to him that he ...                See full summary »",8.3,,19,Chris Schwanitz,"Sam Alsadi,Chris Alvarado,Brent Anthony,Dustin Bayers"
tt2545082,Last Curtain Call,2014,,"Biography, Drama, Music",90 min,"An aspiring rock star finally gets his big break in the music industry after having neglected everyone he loves and is now trying to make up for lost time, but will he be too late?",8.2,,19,Jennifer Tadlock,"Mercedeh Ahrablou,Erin Boyes,Gilby Clarke,Kirsten Lee Collins"
tt4293656,Asking Alexandria: Live from Brixton and Beyond,2014,Not Rated,Music,76 min,Live Concert + Behind The Scenes from Asking Alexandria's SOLD OUT O2 Brixton Academy Headlining Concert in Jan 2013.,8.8,,18,Frankie Nasso,"Asking Alexandria,Sam Bettley,Ben Bruce,James Cassells"
